,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
VTR,13,26.65,23.08,1.06,2023/10/10,,2023/10/20,,10/10,40.71,20/10,41.83,49.9,Completed,Profit,26.88,,TRUE,1.12,24.00,,,,,,
WFC,8,113.80,37.50,1.81,2023/10/10,,2023/10/20,,10/10,39.7,20/10,41.18,49.18,Completed,Profit,37.00,,TRUE,1.48,25.00,,,,,,
DVN,8,235.18,25.00,2.60,2023/10/11,,2023/10/23,,11/10,46.07,23/10,47.71,45.81,Completed,Profit,34.44,,TRUE,1.64,21.00,,,,,,
EXR,16,257.55,31.25,2.67,2023/10/11,,2023/10/13,,11/10,121.23,13/10,120.11,156.54,Completed,Loss,(8.96),,FALSE,-1.12,8.00,,,,,,
GIS,7,189.88,71.43,11.89,2023/10/11,,2023/10/12,,11/10,63.26,12/10,62.73,64.51,Completed,Loss,(7.95),,FALSE,-0.53,15.00,,,,,,
SPG,15,109.92,33.33,1.40,2023/10/11,,2023/10/19,,11/10,106.15,19/10,108.55,142.3,Completed,Profit,21.60,,TRUE,2.4,9.00,,,,,,
SYF,12,71.70,33.33,1.32,2023/10/11,,2023/10/13,,11/10,29.84,13/10,29.43,37.94,Completed,Loss,(13.53),,FALSE,-0.41,33.00,,,,,,
NEE,13,40.85,30.77,1.21,2023/10/13,,2023/10/19,,13/10,53,19/10,53.24,59.75,Completed,Profit,4.32,,TRUE,0.24,18.00,,,,,,
CPB,10,96.63,70.00,3.33,2023/10/16,,2023/10/23,,16/10,40.1,23/10,39.51,43,Completed,Loss,(14.16),,FALSE,-0.59,24.00,,,,,,
BG,6,40.71,16.67,1.37,2023/10/17,,2023/10/20,,17/10,103.33,20/10,103.65,101.64,Completed,Profit,2.88,,TRUE,0.32,9.00,,,,,,
PG,10,288.17,70.00,10.13,2023/10/17,,2023/10/30,,17/10,146.07,30/10,149.26,145.28,Completed,Profit,19.14,,TRUE,3.19,6.00,,,,,,
VLO,13,30.98,38.46,1.11,2023/10/17,,2023/10/23,,17/10,129.2,23/10,130.73,132.2,Completed,Profit,10.71,,TRUE,1.53,7.00,,,,,,
CHD,9,38.93,33.33,1.45,2023/10/17,,2023/10/29,,17/10,88.94,29/10,90.76,91.9,Completed,Profit,20.02,,TRUE,1.82,11.00,,,,,,
GOOGL,8,263.02,75.00,6.32,,2023/10/18,,2023/10/24,18/10,139.72,24/10,136.5,141.49,Completed,Loss,(22.54),,FALSE,-3.22,7.00,,,,,,
CME,8,69.59,37.50,2.19,2023/10/19,,2023/10/26,,19/10,215.99,26/10,214.08,214.31,Completed,Loss,(7.64),,FALSE,-1.91,4.00,,,,,,
DIS,13,60.04,23.08,1.25,2023/10/5,,2023/10/19,,05/10,79.32,19/10,84.68,91.02,Completed,Profit,64.32,,TRUE,5.36,12.00,,,,,,
SNPS,11,141.29,27.27,1.65,,2023/10/19,,2023/10/31,19/10,485.73,31/10,460.94,524.46,Completed,Profit,49.58,,TRUE,-24.79,2.00,,,,,,
AIZ,10,262.76,60.00,5.69,,2023/10/20,,2023/10/25,20/10,149.07,25/10,146.85,165.94,Completed,Profit,13.32,,TRUE,-2.22,6.00,,,,,,
COST,13,42.37,30.77,1.25,,2023/10/20,,2023/10/30,20/10,565.63,30/10,554.88,671.6,Completed,Profit,10.75,,TRUE,-10.75,1.00,,,,,,
DXCM,16,224.52,31.25,1.63,2023/10/20,,2023/10/26,,20/10,86.04,26/10,84.35,122.17,Completed,Loss,(18.59),,FALSE,-1.69,11.00,,,,,,
GOOG,8,123.47,50.00,2.55,,2023/10/20,,2023/10/24,20/10,138.98,24/10,137.9,142.72,Completed,Profit,7.56,,TRUE,-1.08,7.00,,,,,,
PANW,10,783.86,80.00,18.39,,2023/10/20,,2023/11/1,20/10,253.13,01/11,243.02,298.21,Completed,Profit,30.33,,TRUE,-10.11,3.00,,,,,,
VRTX,12,39.59,41.67,1.45,,2023/10/20,,2023/10/24,20/10,364.8,24/10,367.66,405.25,Completed,Loss,(5.72),,FALSE,2.86,2.00,,,,,,
ZS,12,454.59,41.67,2.31,,2023/10/20,,2023/11/3,20/10,169.07,03/11,159.19,221.68,Completed,Profit,49.40,,TRUE,-9.88,5.00,,,,,,
